Set,Price_Euro,Pieces,Minifigs
Valentine's Puppy,9.99,147,
Easter Chick,9.99,120,
Halloween Ghost,9.74,136,
Thanksgiving Scarecrow,9.99,177,
"Reindeer, Elf and Elfie",19.99,281,
Dragon Dance Guy,9.99,170,
LEGO House Exclusive Minifigure 2019,,7,
LEGO Store Picture Frame,14.99,170,
Name Sign,9.99,91,
Olaf's Traveling Sleigh,,97,1.0
Battle of Endor,,197,
LEGO House Dinosaurs,,864,
Lady Liberty,9.99,153,
Xmas Accessories,3.99,32,
Rebuild the World minifigure,,6,
1989 Batmobile - Limited Edition,,366,
Reindeer,,77,
Plants from Plants,,29,
Jasmine's Petite Tower,9.99,49,
Cinderella's Carriage Ride,19.99,91,1.0
Ariel's Castle,24.99,115,
Aladdin's and Jasmine's Palace Adventures,29.99,193,
"Ariel, Aurora, and Tiana's Royal Celebration",44.99,282,
Rapunzel's Small Tower,9.99,44,
Enchanted Treehouse,48.73,302,
Anna's Canoe Expedition,19.99,108,2.0
Elsa and the Reindeer Carriage,29.99,116,1.0
Arendelle Castle Village,79.99,521,
Elsa's Jewellery Box Creation,39.99,300,1.0
Olaf,14.61,122,
Underwater Loop,29.23,389,
Andrea's Heart Box,7.99,84,
Emma's Heart Box,7.99,85,
Stephanie's Heart Box,7.99,85,
Olivia's Heart Box,7.99,85,
Mia's Heart Box,7.99,83,
Heart Box Friendship Pack,19.99,199,
Emma's Mobile Veterinary Clinic ,9.74,50,
Mia's Foal Stable ,19.49,118,
Heartlake City Supermarket,29.23,140,2.0
Mia's Forest Adventure,14.99,134,
Stephanie's Buggy & Trailer ,19.99,166,
Emma's Art Studio,24.99,235,
Olivia's Cupcake Cafe,29.23,335,
Stephanie's Horse Jumping,38.98,337,
Andrea's Talent Show,49.99,492,
Mia's House,68.23,715,
Mia's Horse Trailer,29.23,216,
Stephanie's Gymnastics Show,29.23,241,
Funny Octopus Ride,38.98,324,
Andrea's Pool Party,48.73,468,
Heartlake City Amusement Pier,126.71,1251,
Turtles Rescue Mission,19.49,225,
Dolphins Rescue Mission,38.98,363,
Heartlake City Restaurant,58.48,624,
Lighthouse Rescue Centre,58.48,602,
Rescue Mission Boat,87.72,908,
LEGO Friends Advent Calendar,24.99,330,
Olivia's Hamster Playground,9.74,81,
Andrea's Summer Heart Box,7.99,83,
Emma's Summer Heart Box,7.99,86,
Stephanie's Summer Heart Box,7.99,95,1.0
Olivia's Summer Heart Box,7.99,93,
Mia's Summer Heart Box,7.99,85,
Emmet,,113,
Wyldstyle,,134,
Benny,,103,
Sweet Mayhem,,137,
Cherry Picker,9.74,155,
Power Boat,14.99,174,
Getaway Truck,19.99,128,
Police Pursuit,19.49,120,
Rescue Helicopter,29.99,325,
Chevrolet Corvette ZR1,39.99,579,
Tracked Loader,59.99,827,
Remote-Controlled Stunt Racer,79.99,324,
Porsche 911 RSR,199.99,1580,
Compact Crawler Crane,87.72,920,
Car Transporter,149.99,2493,
4x4 X-Treme Off-Roader,229.99,958,
Liebherr R 9800,449.99,4108,
Land Rover Defender,199.99,2573,
Elsa's Ice Palace,69.99,701,
City Shaper Challenge Kit,,2238,
BOOMTOWN BUILD Inspire Set,,739,
BOOMTOWN BUILD Discovery Set,,78,4.0
Ski Resort,77.97,806,
Jet Patrol,9.74,54,
Sky Police Drone Chase,19.49,192,
Parachute Arrest,29.23,218,
Diamond Heist,49.99,400,
Air Base,73.1,529,
Barbecue Burn Out,9.74,64,
Dock Side Fire,14.61,97,
Burger Bar Fire Rescue,29.99,327,
Fire Station,59.99,509,
Downtown Fire Brigade,99.99,943,
Fire Plane,38.98,363,
Desert Rally Racer,9.99,75,
Construction Loader,9.99,88,
Garbage Truck,19.99,90,
Diving Yacht,19.99,148,
Snow Groomer,19.49,197,
Harvester Transport,29.99,358,
Satellite Service Mission,9.74,84,1.0
Rover Testing Drive,19.49,202,2.0
Mars Research Shuttle,29.99,273,
Lunar Space Station,48.73,412,
Deep Space Rocket and Launch Control,99.99,837,
Rocket Assembly & Transport,129.99,1055,
People Pack - Space Research and Development,38.98,209,
Fire Chief Response Truck,19.49,201,2.0
Garage Centre,38.98,234.0,
Donut Shop Opening,79.99,790.0,
People Pack - Fun Fair,38.98,183.0,
LEGO City Advent Calendar,19.99,234.0,
Straight & T-Junction ,9.74,2.0,
Curves & Crossroad,9.74,2.0,
Police Patrol Car,9.99,92.0,1.0
Kayak Adventure,9.99,84.0,
Bonus/Value pack,,218.0,
Bonus/Value pack,,125.0,
2-in-1 Value Pack: Star-Lord & Gamora,,249.0,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
J.B.'s Ghost Lab,19.99,174.0,3.0
Wrecked Shrimp Boat,29.23,310.0,
Graveyard Mystery,29.23,335.0,
El Fuego's Stunt Truck,38.98,428.0,
Shrimp Shack Attack,48.73,579.0,
Paranormal Intercept Bus 3000,58.48,689.0,
Ghost Train Express,77.97,698.0,
Newbury Haunted High School,116.97,1474.0,
Spinjitzu Kai,9.99,97.0,1.0
Spinjitzu Jay,9.99,97.0,1.0
Spinjitzu Zane,9.99,109.0,1.0
Spinjitzu Cole,9.99,117,1.0
Spinjitzu Nya & Wu,19.99,227,2.0
Spinjitzu Lloyd vs. Garmadon,19.99,208,2.0
The Samurai Mech,14.61,154,
The Golden Dragon,19.49,171,
Kai's Blade Cycle & Zane's Snowmobile,29.99,376,4.0
Jay's Storm Fighter,38.98,490,4.0
Cole's Earth Driller ,49.99,587,
Monastery of Spinjitzu,77.97,1070,
Lloyd's Journey,14.61,81,
Cole's Dirt Bike,19.49,212,3.0
Shuricopter,29.23,361,
Fire Fang,43.86,463,
Katana 4X4,48.73,450,
Lloyd's Titan Mech,68.23,876,
Land Bounty,126.71,1178,
Castle of the Forsaken Emperor,97.47,1218,
The Ultra Dragon,87.72,951,6.0
Monastery Training,9.99,122,2.0
Spinjitzu Slam - Lloyd,9.74,70,1.0
Spinjitzu Slam - Jay,9.74,72,1.0
Spinjitzu Slam - Zane,9.99,63,
Spinjitzu Slam - Kai vs. Samurai,19.49,164,2.0
LEGO Movie Maker,49.99,482,
Emmet and Benny's 'Build and Fix' Workshop!,19.99,117,2.0
Unikitty's Sweetest Friends EVER!,9.99,76.0,
Emmet's Thricycle!,14.99,174.0,1.0
Introducing Queen Watevra Wa'Nabi,19.99,115.0,
Queen Watevra's Build Whatever Box!,39.99,455.0,
Rex's Rex-treme Offroader!,29.99,236.0,2.0
Ultrakatty & Warrior Lucy!,29.99,348.0,2.0
Pop-Up Party Bus,89.99,1024.0,
Emmet and Lucy's Escape Buggy!,49.99,550.0,
Sweet Mayhem's Systar Starship!,69.99,502.0,
Emmet's Dream House/Rescue Rocket!,59.99,706.0,
Emmet's Builder Box!,29.99,125.0,1.0
Lucy's Builder Box!,29.99,141.0,
MetalBeard's Heavy Metal Motor Trike!,59.99,461.0,
Rex's Rexplorer!,119.99,1187.0,2.0
Battle-Ready Batman and MetalBeard,19.99,168.0,
Shimmer & Shine Sparkle Spa!,69.99,691.0,
Queen Watevra's 'So-Not-Evil' Space Palace,99.99,995.0,
The Rexcelsior!,149.99,1826.0,
Welcome to Apocalypseburg!,299.99,3178.0,
Benny's Space Squad,9.99,68.0,
Emmet's Triple-Decker Couch Mech,29.99,312.0,
Good Morning Sparkle Babies!,9.99,50.0,
Systar Party Crew,19.99,196.0,
Wyld-Mayhem Star Fighter,49.99,405.0,
LEGO Minifigures - The LEGO Movie 2 Series {Random bag},,,
Awesome Remix Emmet,,7.0,1.0
Battle-Ready Lucy,,8.0,1.0
Apocalypse Benny,,8.0,1.0
Giraffe Guy,,6.0,1.0
Crayon Girl,,6.0,1.0
Sherry Scratchen-Post & Scarfield,,6.0,1.0
Hula Lula,,8.0,1.0
Watermelon Dude,,6.0,1.0
Flashback Lucy,,7.0,1.0
Swamp Creature,,6.0,1.0
Candy Rapper,,8.0,1.0
Gone Golfin' President Business,,6.0,1.0
Apocalypseburg Abe,,7.0,1.0
Vest Friend Rex,,6.0,1.0
Kitty Pop,,7.0,1.0
Dorothy Gale & Toto,,7.0,1.0
Cowardly Lion,,6.0,1.0
Scarecrow,,6.0,1.0
Tin Man,,8.0,1.0
Unikitty,,15.0,1.0
LEGO Minifigures - The LEGO Movie 2 Series - Complete,,144.0,20.0
LEGO Minifigures - The LEGO Movie 2 Series - Sealed Box,3.99,,
LEGO Minifigures - Disney Series 2 {Random bag},,,
Vintage Mickey,3.99,6.0,1.0
Vintage Minnie,3.99,7.0,1.0
Huey Duck,3.99,7.0,1.0
Dewey Duck,3.99,7.0,1.0
Louie Duck,3.99,8.0,1.0
Scrooge McDuck,3.99,8.0,1.0
Chip,3.99,6.0,1.0
Dale,3.99,5.0,1.0
Elsa,3.99,7.0,1.0
Anna,3.99,8.0,1.0
Jafar,3.99,8.0,1.0
Jasmine,3.99,6.0,1.0
Hades,3.99,6.0,1.0
Hercules,3.99,8.0,1.0
Sally,3.99,7.0,1.0
Jack Skellington,3.99,10.0,1.0
Edna Mode,3.99,8.0,1.0
Frozone,3.99,7.0,1.0
LEGO Minifigures - Disney Series 2 - Complete,,129.0,18.0
LEGO Minifigures - Disney Series 2 - Sealed Box,3.99,,
LEGO Minifigures - Series 19 {Random Bag},,,
Video Game Champ,,7.0,1.0
Shower Guy,,8.0,1.0
Fright Knight,,9.0,1.0
Monkey King,,12.0,1.0
Programmer,,10.0,1.0
Mummy Queen,,6.0,1.0
Jungle Explorer,,8.0,1.0
Fire Fighter,,6.0,1.0
Dog Sitter,,9.0,1.0
Pizza Costume Guy,,6.0,1.0
Galactic Bounty Hunter,,8.0,1.0
Gardener,,7.0,1.0
Rugby Player,,6.0,1.0
Fox Costume Girl,,8.0,1.0
Bear Costume Guy,,7.0,1.0
Mountain Biker,,10.0,1.0
LEGO Minifigures - Series 19 - Complete,3.99,127.0,16.0
LEGO Minifigures - Series 19 - Sealed Box,,,
Disney Train and Station,329.99,2925.0,
Naboo Starfighter Microfighter,9.99,62.0,1.0
Sith Infiltrator Microfighter,9.99,92.0,1.0
Elite Praetorian Guard Battle Pack,14.99,109.0,
Inferno Squad Battle Pack,14.99,118.0,
Darth Vader Bust,,327.0,
Escape Pod vs. Dewback Microfighters,19.99,177.0,
Death Star Escape,29.99,329.0,
Kylo Ren & Sith Trooper,19.99,240.0,
Droid Gunship,59.99,389.0,4.0
AT-AP Walker,68.23,689.0,
X-wing Starfighter Trench Run,29.23,132.0,3.0
Duel on Starkiller Base,19.99,191.0,
TIE Fighter Attack,19.99,77,2.0
Action Battle Endor Assault,29.23,193,
Action Battle Hoth Generator Attack,29.23,235,
Major Vonreg's TIE Fighter,68.23,496,
Action Battle Echo Base Defense,58.48,504,
Black Ace TIE Interceptor,48.73,396,
Slave I - 20th Anniversary Edition,116.97,1007,
Tantive IV,194.95,1768,
LEGO Star Wars Advent Calendar,29.99,280,
Death Star Cannon,19.49,159,2.0
Rebel A-wing Starfighter,14.99,62,2.0
Resistance A-wing Starfighter,29.23,269,
Resistance Y-wing Starfighter,69.99,578,
Pasaana Speeder Chase,48.73,373,
Darth Vader's Castle,129.99,1060,
Imperial Star Destroyer,699.99,4784,
Droid Commander,194.95,1177,
AT-ST Raider,59.99,540,
Yoda,119.99,1771,1.0
Kylo Ren's Shuttle,119.99,1005,
Millennium Falcon,169.99,1351,
Anakin's Podracer – 20th Anniversary Edition,29.23,279,
Snowspeeder – 20th Anniversary Edition,39.99,309,
Clone Scout Walker – 20th Anniversary Edition,29.99,250,
Imperial Dropship – 20th Anniversary Edition,19.99,125,
Mini Boost Droid Commander,,62,
The Upside Down,199.99,2287,
Ferrari F40 Competizione,14.99,198,
Chevrolet Camaro ZL1 Race Car,14.99,198,
McLaren Senna,14.99,219,
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,39.99,478,
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,48.73,481,
1974 Porsche 911 Turbo 3.0,14.99,180,
Dilophosaurus on the Loose,24.36,168,
Baryonyx Face-Off: The Treasure Hunt,59.99,434,
Jurassic Park: T. rex Rampage,249.99,3120,
Triceratops Rampage,58.48,447,
T. rex vs Dino-Mech Battle,87.72,716,
Expecto Patronum,19.49,121,
Hungarian Horntail Triwizard Challenge,34.11,265,
Hagrid's Hut: Buckbeak's Rescue,59.99,496,
Hogwarts Clock Tower,99.99,922,
The Knight Bus,39.99,403,
Beauxbatons' Carriage: Arrival at Hogwarts ,48.73,430,
LEGO Harry Potter Advent Calendar,24.99,305,
The Rise of Voldemort,19.49,184,
Tracer vs. Widowmaker,14.99,129,
Hanzo vs. Genji,24.36,197,
Dorado Showdown,29.99,419,
D.Va & Reinhardt,39.99,455,
Bastion,58.48,602,
Watchpoint: Gibraltar,87.72,730,
Wrecking Ball,19.49,227,
Junkrat & Roadhog,48.73,380,
Spider-Man Bike Rescue,24.36,235,
Spider-Man's Spider Crawler,38.98,418,
Spider Mech vs. Venom,48.73,604,
Batman Batsub and the Underwater Clash,24.99,174,
Batman Mech vs. Poison Ivy Mech ,39.99,375,
Mr. Freeze Batcycle Battle,24.36,200,
Batmobile: Pursuit of The Joker,29.23,342,2.0
Batwing and The Riddler Heist,48.73,489,
Batcave Clayface Invasion,97.47,1038,
Captain America: Outriders Attack,24.36,167,
War Machine Buster,34.11,362,
Iron Man Hall of Armor,59.99,524,
Avengers Ultimate Quinjet,77.97,838,
Captain Marvel and The Skrull Attack,29.23,307,
Molten Man Battle,29.23,294,
Hydro-Man Attack,39.99,471,
Stark Jet and the Drone Attack,58.48,504,
Avengers Compound Battle,97.47,699,
Spider-Man Car Chase,9.99,52,
Spider-Man: Doc Ock Diamond Heist,29.99,150,
Batman vs. The Riddler Robbery,9.74,59,2.0
Batman and The Joker Escape,38.98,171,
1989 Batmobile,249.99,3306,
Avengers Hulk Helicopter Rescue,58.48,482,
Sith Trooper Bust,,484,
Captain Marvel and the Asis,,271,
The Dark Knight of Gotham City,,427,1.0
Chinese New Year's Eve Dinner,,615,
Dragon Dance,,622,
Dragon Boat Race,49.99,643,
Koi,,293,
Shark Skin,,31,
Splash Koi Skin,,33,
Ink Koi Skin,,33,
Boost Hub,79.99,1,
Colour & Distance Sensor,13.99,1,
Medium Linear Motor,16.99,1,
Train Motor,13.99,7,
Garmadon,,10,1.0
Garmadon,,10,1.0
Wu,,6,1.0
Wu,,6,1.0
Kai vs. Wyplash,,13,2.0
Kai vs. Wyplash,,13,2.0
Jay Vs. Lasha,,12,2.0
Jay vs. Lasha,,12,2.0
